name,symbol,current_price,market_cap,total_volume
Bitcoin,btc,71015.0,1420516115921,22613579119.0
Ethereum,eth,2087.97,252047241215,9063259496.0
Tether,usdt,1.0,184043691574,37341754976.0
BNB,bnb,655.98,89447059609,537453209.0
XRP,xrp,1.41,86003993924,1226619570.0
USDC,usdc,0.999909,79181394792,3741274399.0
Solana,sol,87.78,50141980166,1910473082.0
TRON,trx,0.297718,28207311157,441169613.0
Figure Heloc,figr_heloc,1.003,15894484690,8050374.0
Dogecoin,doge,0.095613,14665374013,741713466.0
WhiteBIT Coin,wbt,55.46,11835315306,22327673.0
USDS,usds,0.999836,11271682152,19836526.0
Cardano,ada,0.262363,9662301410,342630266.0
Bitcoin Cash,bch,463.6,9275404741,157220206.0
Hyperliquid,hype,37.8,9008924492,259096755.0
LEO Token,leo,9.07,8352998817,777012.0
Monero,xmr,352.93,6508111036,105709460.0
Chainlink,link,9.15,6478792030,238699052.0
Ethena USDe,usde,0.999679,5919959604,53489103.0
Canton,cc,0.151841,5780471581,7507362.0
Stellar,xlm,0.165851,5473869447,65541265.0
USD1,usd1,0.999502,4590989188,569332696.0
Dai,dai,1.0,4286717247,134962268.0
Rain,rain,0.00893483,4270980948,20097149.0
Litecoin,ltc,54.8,4215673884,243868657.0
Avalanche,avax,9.69,4185045185,173068630.0
PayPal USD,pyusd,0.999789,4129742508,25987664.0
Hedera,hbar,0.09327,4037758830,80350886.0
Sui,sui,0.99993,3897869422,290766291.0
Zcash,zec,212.47,3528287979,215636981.0
Shiba Inu,shib,5.85e-06,3448196500,74161973.0
Cronos,cro,0.077433,3182934297,8298514.0
Toncoin,ton,1.29,3173881880,79890423.0
World Liberty Financial,wlfi,0.103668,2868732263,59996597.0
Tether Gold,xaut,4989.71,2817187474,105431849.0
MemeCore,m,1.5,2622317515,6917613.0
Mantle,mnt,0.790534,2597584292,100019419.0
PAX Gold,paxg,5022.59,2513128074,88654262.0
Uniswap,uni,3.92,2484892387,149544732.0
Bittensor,tao,249.85,2388894094,222249287.0
Polkadot,dot,1.41,2355416011,95758540.0
Circle USYC,usyc,1.12,2310904537,99.62
OKB,okb,96.24,2021065198,29315802.0
BlackRock USD Institutional Digital Liquidity Fund,buidl,1.0,1995324276,0.0
Pi Network,pi,0.196548,1907400984,73790114.0
Global Dollar,usdg,0.999985,1767520030,13914946.0
Falcon USD,usdf,0.997099,1748518791,524758.0
Aster,aster,0.707587,1737693585,108254473.0
NEAR Protocol,near,1.32,1703808902,101969689.0
Aave,aave,110.42,1676772354,208400108.0
Sky,sky,0.072355,1666821065,12235424.0
Ripple USD,rlusd,1.0,1552665357,31175431.0
Bitget Token,bgb,2.17,1519818728,11157658.0
HTX DAO,htx,1.63e-06,1493926894,11462349.0
Internet Computer,icp,2.67,1465282134,55938224.0
Pepe,pepe,3.34e-06,1404527349,196741031.0
BFUSD,bfusd,0.999497,1319337942,566260.0
Ondo US Dollar Yield,usdy,1.12,1312421838,434930.0
Ethereum Classic,etc,8.22,1281749387,31673904.0
Ondo,ondo,0.261045,1270426759,28041621.0
Pump.fun,pump,0.00199987,1179343668,61066299.0
Gate,gt,7.13,1133103428,1850048.0
Superstate Short Duration U.S. Government Securities Fund (USTB),ustb,11.02,1109998541,0.0
KuCoin,kcs,8.17,1079273469,2657194.0
Morpho,morpho,1.89,1036773414,10545539.0
Worldcoin,wld,0.354778,1035373112,45626804.0
POL (ex-MATIC),pol,0.096426,1022480334,43529740.0
Spiko EU T-Bills Money Market Fund,eutbl,1.2,978058729,0.0
Quant,qnt,66.54,968035782,11529375.0
Render,render,1.87,967048034,93905265.0
Official Trump,trump,4.04,941968783,860465850.0
Cosmos Hub,atom,1.85,923106679,25981187.0
Ethena,ena,0.107391,911388764,49483664.0
NEXO,nexo,0.90284,902850928,4202025.0
USDtb,usdtb,1.001,836479748,170863.0
Midnight,night,0.050172,832880438,142604783.0
Kaspa,kas,0.03059122,819160675,6311136.0
Algorand,algo,0.090209,801708899,32467658.0
Janus Henderson Anemoy Treasury Fund,jtrsy,1.097,764222230,0.0
USDD,usdd,1.0,761850531,68108721.0
Flare,flr,0.0086721,738403434,2999058.0
Aptos,apt,0.912507,723651826,44096393.0
OUSG,ousg,114.58,723351017,0.0
Provenance Blockchain,hash,0.01249169,695571261,3831.64
Filecoin,fil,0.874603,666092007,70834396.0
XDC Network,xdc,0.03175829,633287657,14340641.0
Beldex,bdx,0.080997,616063618,10305489.0
VeChain,vet,0.0071096,611310336,9423985.0
​​Stable,stable,0.02879532,601108792,18150513.0
Arbitrum,arb,0.100574,597264234,39108076.0
YLDS,ylds,1.0,595554241,56044.0
GHO,gho,1.0,583959512,3378531.0
Usual USD,usd0,0.998715,559988105,2629.42
Jupiter,jup,0.159207,556812367,14861949.0
Bonk,bonk,5.99e-06,527277617,35034010.0
TrueUSD,tusd,0.999389,494202803,6211609.0
A7A5,a7a5,0.0123743,485020017,5280.0
Fasttoken,ftn,1.089,472475097,41140.0
Virtuals Protocol,virtual,0.713134,467804098,48571756.0
JUST,jst,0.052837,464947869,20087346.0
